Name in BikeCAD Files,Name in BIKED,Relevant Portion of Bike,Include in Sim Engine,,
Chain stay taper,Chain Stay T,,,nChain stay taper,
Chain stay back diameter,Chain Stay VR,,,nChain stay back diameter,
Chain stay vertical diameter,Chain Stay VF,,,nChain stay vertical diameter,
Seat stay junction0,Seat Stay E,SeatStays,,nSeat stay junction0,
Seat stay bottom diameter,Seat Stay VR,,,nSeat stay bottom diameter,
SEATSTAY_HF,Seat Stay HF,,,nSEATSTAY_HF,
SSTopZOFFSET,Seat Stay Z,,,nSSTopZOFFSET,
SEATSTAY_HR,Seat Stay HR,,,nSEATSTAY_HR,
SEATSTAYTAPERLENGTH,Seat Stay T,,,nSEATSTAYTAPERLENGTH,
bottle SEATTUBE0 WBX,Bottle to mount axial offset seattube,Bottles,,,
bottle SEATTUBE0 WBY,Bottle to mount perpendicular offset seattube,,,,
bottle SEATTUBE0 CAGE,bottle holder type seat tube,,,,
bottle DOWNTUBE0 X,Bottle holder position downtube,,,,
bottle DOWNTUBE0 CAGE,bottle holder type down tube,,,,
bottle DOWNTUBE0 WBY,Bottle to mount perpendicular offset downtubetube,,,,
bottle DOWNTUBE0 WBX,Bottle to mount axial offset downtube,,,,
bottle SEATTUBE0 X,Bottle holder position seattube,,,,
Front Fender clearance,front fender clearance,fenders,,,
Front fender end angle,front fender end angle,,,,
Rear fender end angle,rear fender end angle,,,,
Fender clearance,rear fender clearance,,,,
Rear fender start angle,rear fender start angle,,,,
Front fender start angle,front fender start angle,,,,
FDDIST,Front Derailleur D,Drivetrain,,,
SPIDER_DIAMETER,Spider Diamter (DT S),,,,
Crank length,Crank Length (DT A),,,,
Crank Q factor,Crank Q,,,,
PEDAL_LENGTH,Pedal L,,,,
Teeth on cog 2,Teeth on cog 2,,,,
Teeth on cog 3,Teeth on cog 3,,,,
Teeth on cog 4,Teeth on cog 4,,,,
Teeth on cog 5,Teeth on cog 5,,,,
Teeth on cog 6,Teeth on cog 6,,,,
Teeth on cog 7,Teeth on cog 7,,,,
